iteration,fidelity
0,0.5611818840469496
1,0.5499816727042995
2,0.4181373932287138
3,0.25974393342857505
4,0.5350145686878898
5,0.31358094341011294
6,0.5734598212716419
7,0.5141810655114186
8,0.6098430089806286
9,0.39089841315236096
10,0.5610168824988131
11,0.41060909105181886
12,0.5514777555922556
13,0.4844489026853763
14,0.41242228989868945
15,0.40567996417283836
16,0.5188458133497921
17,0.6075660045644665
18,0.3958723873162612
19,0.5913374535634472
20,0.46852227936810076
21,0.5484568904464446
22,0.6993647562538551
23,0.5043437741915447
24,0.6724703226211671
25,0.43551819151027477
26,0.637164147252462
27,0.5266255767688066
28,0.5271047507489981
29,0.4973893575466373
30,0.43760765253324235
31,0.3234000566290002
32,0.590968443060847
33,0.4809147756772923
34,0.23922642497586402
35,0.5873876116317678
36,0.6856001132751347
37,0.5488791235774563
38,0.4510419989387573
39,0.5717103512221599
40,0.48231059159092415
41,0.4147089685400271
42,0.5488357336822007
43,0.6095051316482912
44,0.5899333194061264
45,0.4561609349956955
46,0.5669163844440173
47,0.3639512088919677
48,0.4881952206097969
49,0.48880115021847703
50,0.38159394678037095
51,0.5623870277430075
52,0.688028780438059
53,0.35076833952797243
54,0.5903342405730546
55,0.3952535412507177
56,0.46488231082669906
57,0.5637465755445894
58,0.6661029064816333
59,0.4489108863132086
60,0.5957394755475984
61,0.6324919225716331
62,0.4653540576434929
63,0.4749050111541484
64,0.574833892401339
65,0.6720579264195634
66,0.6167733849284436
67,0.3399522234266421
68,0.6661042350816592
69,0.46316584091548013
70,0.4762388967972882
71,0.42992486637282357
72,0.36054717859578556
73,0.46584133479951734
74,0.45593423549084244
75,0.6683185385987305
76,0.5118867777210185
77,0.5686352748438717
78,0.4597042662651676
79,0.5291359953809023
80,0.5867363591381233
81,0.4146235356411344
82,0.5467855198619178
83,0.540488046000235
84,0.31717216114991365
85,0.4486504025758154
86,0.5514951960389434
87,0.5997554024142138
88,0.5665414858063832
89,0.47387278055759563
90,0.572546684331065
91,0.3244325438467648
92,0.6156813804212239
93,0.5189936524158727
94,0.5514436189073096
95,0.4413015666835065
96,0.6330220744858627
97,0.5766670907874806
98,0.5361693571494975
99,0.6210003218858134
100,0.49679199390578943
101,0.29194402894125976
102,0.4569388835334986
103,0.30612675004090484
104,0.4938922102913211
105,0.34422129085130876
106,0.49489511881354553
107,0.5544342178184676
108,0.51163194948558
109,0.5110142272318089
110,0.6371654041744902
111,0.21460692342911433
112,0.5450934192668488
113,0.4509766537434325
114,0.4571819552713455
115,0.5593919470065146
116,0.6587492039357546
117,0.39319032382176217
118,0.46993857742679124
119,0.42560690399121714
120,0.6242853782680379
121,0.4629520852477406
122,0.6132925404624451
123,0.5516349396464634
124,0.3787831318388234
125,0.5972746447068172
126,0.6266124849074707
127,0.5612861787269458
128,0.530814810774006
129,0.5302440508517449
130,0.6174154563277938
131,0.41138585491539775
132,0.6121715655882818
133,0.5260913135208003
134,0.558112520865132
135,0.3601724492677931
136,0.33209672124130796
137,0.6984884025430892
138,0.37699436884042486
139,0.45974633807935794
140,0.4819844540592578
141,0.6889120041865922
142,0.41322146835288814
143,0.5255028074402995
144,0.46113004762292953
145,0.5302525952880975
146,0.45474085394513647
147,0.6412893603427695
148,0.4946137912065535
149,0.41359376708586487
150,0.38961772455221116
151,0.3629219794197553
152,0.4858954935274039
153,0.4877304228482185
154,0.5532037034510544
155,0.43549355831225145
156,0.44213019318516267
157,0.49101461428173465
158,0.491568380343838
159,0.31484223462080996
160,0.41105378851518964
161,0.5782820499615741
162,0.5272676065234644
163,0.4768956535674476
164,0.5295648614887456
165,0.5426377175802812
166,0.5778189639818351
167,0.5611629133111672
168,0.49658735343287214
169,0.3954546462622781
170,0.43884706208098223
171,0.4003201265409788
172,0.46230866752805777
173,0.4269065620406161
174,0.34115964568878815
175,0.49126489123389633
176,0.4182908988493874
177,0.5725789880783579
178,0.49156240819212643
179,0.558453693893022
180,0.5600132356684244
181,0.7051934291361829
182,0.5984929024993664
183,0.5287253774087655
184,0.6061772478981724
185,0.5613179118624702
186,0.4876891021968475
187,0.5694006754730664
188,0.5233341028887016
189,0.5052945365497847
190,0.4220915610650054
191,0.5204537381378079
192,0.6853795028215285
193,0.34266314869344455
194,0.44002952108054944
195,0.6540038000459351
196,0.37898320716264483
197,0.3357491783546815
198,0.422639946343068
199,0.6218602215403254
